,Date,Time,Temp,Rain,Day of the Week,School Holiday,Public Holiday
225,2023-11-15,16:10:00,30,0,Wednesday,0,0
226,2023-11-15,17:00:00,27,0,Wednesday,0,0
227,2023-11-15,18:00:00,28,0,Wednesday,0,0
228,2023-11-15,19:00:00,27,0,Wednesday,0,0
229,2023-11-15,20:00:00,27,0,Wednesday,0,0
230,2023-11-15,21:00:00,27,0,Wednesday,0,0
231,2023-11-15,22:00:00,27,0,Wednesday,0,0
232,2023-11-16,09:00:00,29,0,Thursday,0,0
233,2023-11-16,10:00:00,31,0,Thursday,0,0
234,2023-11-16,11:00:00,32,0,Thursday,0,0
235,2023-11-16,12:00:00,33,0,Thursday,0,0
236,2023-11-16,13:00:00,34,0,Thursday,0,0
237,2023-11-16,14:00:00,32,0,Thursday,0,0
238,2023-11-16,15:00:00,29,0,Thursday,0,0
239,2023-11-16,16:00:00,27,0,Thursday,0,0
240,2023-11-16,17:00:00,28,0,Thursday,0,0
241,2023-11-16,17:30:00,28,1,Thursday,0,0
242,2023-11-16,18:00:00,27,0,Thursday,0,0
243,2023-11-16,19:00:00,27,0,Thursday,0,0
244,2023-11-16,20:00:00,26,0,Thursday,0,0
245,2023-11-16,21:00:00,26,0,Thursday,0,0
246,2023-11-16,22:00:00,26,0,Thursday,0,0
247,2023-11-17,09:00:00,30,0,Friday,0,0
248,2023-11-17,10:00:00,32,0,Friday,0,0
249,2023-11-17,11:00:00,32,0,Friday,0,0
250,2023-11-17,12:00:00,33,0,Friday,0,0
251,2023-11-17,13:00:00,33,0,Friday,0,0
252,2023-11-17,14:00:00,33,0,Friday,0,0
253,2023-11-17,15:00:00,26,0,Friday,0,0
254,2023-11-17,15:22:00,25,0,Friday,0,0
255,2023-11-17,16:00:00,25,1,Friday,0,0
256,2023-11-17,17:00:00,27,0,Friday,0,0
257,2023-11-17,18:00:00,28,0,Friday,0,0
258,2023-11-17,19:00:00,27,0,Friday,0,0
259,2023-11-17,20:00:00,27,0,Friday,0,0
260,2023-11-17,21:00:00,27,0,Friday,0,0
261,2023-11-17,22:00:00,26,0,Friday,0,0
262,2023-11-18,09:00:00,30,0,Saturday,1,0
263,2023-11-18,10:00:00,30,0,Saturday,1,0
264,2023-11-18,11:00:00,32,0,Saturday,1,0
265,2023-11-18,12:00:00,34,0,Saturday,1,0
266,2023-11-18,13:00:00,34,0,Saturday,1,0
267,2023-11-18,14:00:00,34,0,Saturday,1,0
268,2023-11-18,14:31:00,34,0,Saturday,1,0
269,2023-11-18,15:00:00,34,0,Saturday,1,0
270,2023-11-18,16:00:00,33,0,Saturday,1,0
271,2023-11-18,17:00:00,32,0,Saturday,1,0
272,2023-11-18,17:35:00,32,0,Saturday,1,0
273,2023-11-18,18:04:00,29,0,Saturday,1,0
274,2023-11-18,18:11:00,26,0,Saturday,1,0
275,2023-11-18,19:00:00,25,1,Saturday,1,0
276,2023-11-18,20:00:00,26,1,Saturday,1,0
277,2023-11-18,21:00:00,27,0,Saturday,1,0
278,2023-11-18,22:00:00,27,0,Saturday,1,0
279,2023-11-19,09:00:00,27,0,Sunday,1,0
280,2023-11-19,10:00:00,28,0,Sunday,1,0
281,2023-11-19,11:00:00,29,0,Sunday,1,0
282,2023-11-19,12:00:00,30,0,Sunday,1,0
283,2023-11-19,13:00:00,29,0,Sunday,1,0
284,2023-11-19,14:00:00,29,0,Sunday,1,0
285,2023-11-19,15:00:00,29,0,Sunday,1,0
286,2023-11-19,16:00:00,29,0,Sunday,1,0
287,2023-11-19,17:00:00,29,0,Sunday,1,0
288,2023-11-19,18:00:00,29,0,Sunday,1,0
289,2023-11-19,19:00:00,28,0,Sunday,1,0
290,2023-11-19,20:00:00,27,0,Sunday,1,0
291,2023-11-19,21:00:00,27,0,Sunday,1,0
292,2023-11-19,22:00:00,27,0,Sunday,1,0
293,2023-11-20,09:00:00,29,0,Monday,1,0
294,2023-11-20,10:00:00,30,0,Monday,1,0
295,2023-11-20,11:00:00,31,0,Monday,1,0
296,2023-11-20,12:00:00,32,0,Monday,1,0
297,2023-11-20,13:00:00,32,0,Monday,1,0
298,2023-11-20,14:00:00,33,0,Monday,1,0
299,2023-11-20,15:00:00,31,0,Monday,1,0
300,2023-11-20,16:00:00,32,0,Monday,1,0
301,2023-11-20,17:00:00,29,0,Monday,1,0
302,2023-11-20,17:20:00,27,0,Monday,1,0
303,2023-11-20,18:00:00,27,0,Monday,1,0
304,2023-11-20,18:10:00,27,0,Monday,1,0
305,2023-11-20,19:00:00,26,1,Monday,1,0
306,2023-11-20,20:00:00,27,0,Monday,1,0
307,2023-11-20,21:00:00,27,0,Monday,1,0
308,2023-11-20,22:00:00,27,0,Monday,1,0
309,2023-11-21,09:00:00,28,0,Tuesday,1,0
310,2023-11-21,10:00:00,29,0,Tuesday,1,0
311,2023-11-21,11:00:00,30,0,Tuesday,1,0
312,2023-11-21,12:00:00,30,0,Tuesday,1,0
313,2023-11-21,13:00:00,30,0,Tuesday,1,0
314,2023-11-21,13:25:00,30,0,Tuesday,1,0
315,2023-11-21,14:00:00,27,0,Tuesday,1,0
316,2023-11-21,15:00:00,25,0,Tuesday,1,0
317,2023-11-21,15:35:00,25,0,Tuesday,1,0
318,2023-11-21,16:00:00,26,1,Tuesday,1,0
319,2023-11-21,17:00:00,27,1,Tuesday,1,0
320,2023-11-21,18:00:00,27,1,Tuesday,1,0
321,2023-11-21,19:00:00,27,0,Tuesday,1,0
322,2023-11-21,20:00:00,27,0,Tuesday,1,0
323,2023-11-21,21:00:00,27,0,Tuesday,1,0
