Date/Time,Wait Time,Month,Day,Time,Day of Week,Number of Visitors,Number of New Visitors Arriving,Time Interval,Number of New Visitors Arriving_sum
2024-02-11 10:15:00,18,2,11,10:15,Sunday,90,1200.0,2024-02-11 10:00:00,4000.0
2024-02-11 10:20:00,20,2,11,10:20,Sunday,100,400.0,2024-02-11 10:00:00,4000.0
2024-02-11 10:25:00,19,2,11,10:25,Sunday,95,0.0,2024-02-11 10:00:00,4000.0
2024-02-11 10:30:00,20,2,11,10:30,Sunday,100,200.0,2024-02-11 10:00:00,4000.0
2024-02-11 10:35:00,25,2,11,10:35,Sunday,125,1000.0,2024-02-11 10:00:00,4000.0
2024-02-11 10:40:00,28,2,11,10:40,Sunday,140,600.0,2024-02-11 10:00:00,4000.0
2024-02-11 10:45:00,27,2,11,10:45,Sunday,135,0.0,2024-02-11 10:00:00,4000.0
2024-02-11 10:50:00,27,2,11,10:50,Sunday,135,0.0,2024-02-11 10:00:00,4000.0
2024-02-11 10:55:00,27,2,11,10:55,Sunday,135,0.0,2024-02-11 10:00:00,4000.0
2024-02-11 11:00:00,27,2,11,11:00,Sunday,135,0.0,2024-02-11 11:00:00,2600.0
2024-02-11 11:05:00,31,2,11,11:05,Sunday,155,800.0,2024-02-11 11:00:00,2600.0
2024-02-11 11:10:00,33,2,11,11:10,Sunday,165,400.0,2024-02-11 11:00:00,2600.0
2024-02-11 11:15:00,34,2,11,11:15,Sunday,170,200.0,2024-02-11 11:00:00,2600.0
2024-02-11 11:20:00,38,2,11,11:20,Sunday,190,800.0,2024-02-11 11:00:00,2600.0
2024-02-11 11:25:00,38,2,11,11:25,Sunday,190,0.0,2024-02-11 11:00:00,2600.0
2024-02-11 11:30:00,39,2,11,11:30,Sunday,195,200.0,2024-02-11 11:00:00,2600.0
2024-02-11 11:35:00,40,2,11,11:35,Sunday,200,200.0,2024-02-11 11:00:00,2600.0
2024-02-11 11:40:00,40,2,11,11:40,Sunday,200,0.0,2024-02-11 11:00:00,2600.0
2024-02-11 11:45:00,40,2,11,11:45,Sunday,200,0.0,2024-02-11 11:00:00,2600.0
2024-02-11 11:50:00,40,2,11,11:50,Sunday,200,0.0,2024-02-11 11:00:00,2600.0
2024-02-11 11:55:00,40,2,11,11:55,Sunday,200,0.0,2024-02-11 11:00:00,2600.0
2024-02-11 12:00:00,43,2,11,12:00,Sunday,215,600.0,2024-02-11 12:00:00,2400.0
2024-02-11 12:05:00,44,2,11,12:05,Sunday,220,200.0,2024-02-11 12:00:00,2400.0
2024-02-11 12:10:00,44,2,11,12:10,Sunday,220,0.0,2024-02-11 12:00:00,2400.0
2024-02-11 12:15:00,46,2,11,12:15,Sunday,230,400.0,2024-02-11 12:00:00,2400.0
2024-02-11 12:20:00,47,2,11,12:20,Sunday,235,200.0,2024-02-11 12:00:00,2400.0
2024-02-11 12:25:00,48,2,11,12:25,Sunday,240,200.0,2024-02-11 12:00:00,2400.0
2024-02-11 12:30:00,48,2,11,12:30,Sunday,240,0.0,2024-02-11 12:00:00,2400.0
2024-02-11 12:35:00,49,2,11,12:35,Sunday,245,200.0,2024-02-11 12:00:00,2400.0
2024-02-11 12:40:00,49,2,11,12:40,Sunday,245,0.0,2024-02-11 12:00:00,2400.0
2024-02-11 12:45:00,49,2,11,12:45,Sunday,245,0.0,2024-02-11 12:00:00,2400.0
2024-02-11 12:50:00,48,2,11,12:50,Sunday,240,0.0,2024-02-11 12:00:00,2400.0
2024-02-11 12:55:00,51,2,11,12:55,Sunday,255,600.0,2024-02-11 12:00:00,2400.0
2024-02-11 13:00:00,51,2,11,13:00,Sunday,255,0.0,2024-02-11 13:00:00,600.0
2024-02-11 13:05:00,51,2,11,13:05,Sunday,255,0.0,2024-02-11 13:00:00,600.0
2024-02-11 13:10:00,50,2,11,13:10,Sunday,250,0.0,2024-02-11 13:00:00,600.0
2024-02-11 13:15:00,49,2,11,13:15,Sunday,245,0.0,2024-02-11 13:00:00,600.0
2024-02-11 13:25:00,49,2,11,13:25,Sunday,245,0.0,2024-02-11 13:00:00,600.0
2024-02-11 13:30:00,50,2,11,13:30,Sunday,250,200.0,2024-02-11 13:00:00,600.0
2024-02-11 13:35:00,48,2,11,13:35,Sunday,240,0.0,2024-02-11 13:00:00,600.0
2024-02-11 13:40:00,48,2,11,13:40,Sunday,240,0.0,2024-02-11 13:00:00,600.0
2024-02-11 13:45:00,48,2,11,13:45,Sunday,240,0.0,2024-02-11 13:00:00,600.0
2024-02-11 13:50:00,49,2,11,13:50,Sunday,245,200.0,2024-02-11 13:00:00,600.0
2024-02-11 13:55:00,50,2,11,13:55,Sunday,250,200.0,2024-02-11 13:00:00,600.0
2024-02-11 14:00:00,51,2,11,14:00,Sunday,255,200.0,2024-02-11 14:00:00,3400.0
2024-02-11 14:05:00,50,2,11,14:05,Sunday,250,0.0,2024-02-11 14:00:00,3400.0
2024-02-11 14:10:00,44,2,11,14:10,Sunday,220,0.0,2024-02-11 14:00:00,3400.0
2024-02-11 14:15:00,51,2,11,14:15,Sunday,255,1400.0,2024-02-11 14:00:00,3400.0
2024-02-11 14:20:00,52,2,11,14:20,Sunday,260,200.0,2024-02-11 14:00:00,3400.0
2024-02-11 14:25:00,52,2,11,14:25,Sunday,260,0.0,2024-02-11 14:00:00,3400.0
2024-02-11 14:30:00,56,2,11,14:30,Sunday,280,800.0,2024-02-11 14:00:00,3400.0
2024-02-11 14:35:00,58,2,11,14:35,Sunday,290,400.0,2024-02-11 14:00:00,3400.0
2024-02-11 14:40:00,56,2,11,14:40,Sunday,280,0.0,2024-02-11 14:00:00,3400.0
2024-02-11 14:45:00,57,2,11,14:45,Sunday,285,200.0,2024-02-11 14:00:00,3400.0
2024-02-11 14:50:00,58,2,11,14:50,Sunday,290,200.0,2024-02-11 14:00:00,3400.0
2024-02-11 14:55:00,51,2,11,14:55,Sunday,255,0.0,2024-02-11 14:00:00,3400.0
2024-02-11 15:00:00,51,2,11,15:00,Sunday,255,0.0,2024-02-11 15:00:00,200.0
2024-02-11 15:05:00,49,2,11,15:05,Sunday,245,0.0,2024-02-11 15:00:00,200.0
2024-02-11 15:10:00,50,2,11,15:10,Sunday,250,200.0,2024-02-11 15:00:00,200.0
2024-02-11 15:15:00,48,2,11,15:15,Sunday,240,0.0,2024-02-11 15:00:00,200.0
2024-02-11 15:20:00,48,2,11,15:20,Sunday,240,0.0,2024-02-11 15:00:00,200.0
2024-02-11 15:25:00,48,2,11,15:25,Sunday,240,0.0,2024-02-11 15:00:00,200.0
2024-02-11 15:30:00,47,2,11,15:30,Sunday,235,0.0,2024-02-11 15:00:00,200.0
2024-02-11 15:35:00,47,2,11,15:35,Sunday,235,0.0,2024-02-11 15:00:00,200.0
2024-02-11 15:40:00,47,2,11,15:40,Sunday,235,0.0,2024-02-11 15:00:00,200.0
2024-02-11 15:45:00,44,2,11,15:45,Sunday,220,0.0,2024-02-11 15:00:00,200.0
2024-02-11 15:50:00,44,2,11,15:50,Sunday,220,0.0,2024-02-11 15:00:00,200.0
2024-02-11 15:55:00,40,2,11,15:55,Sunday,200,0.0,2024-02-11 15:00:00,200.0
2024-02-11 16:00:00,42,2,11,16:00,Sunday,210,400.0,2024-02-11 16:00:00,1000.0
2024-02-11 16:05:00,42,2,11,16:05,Sunday,210,0.0,2024-02-11 16:00:00,1000.0
2024-02-11 16:10:00,42,2,11,16:10,Sunday,210,0.0,2024-02-11 16:00:00,1000.0
2024-02-11 16:15:00,45,2,11,16:15,Sunday,225,600.0,2024-02-11 16:00:00,1000.0
2024-02-11 16:20:00,45,2,11,16:20,Sunday,225,0.0,2024-02-11 16:00:00,1000.0
2024-02-11 16:25:00,45,2,11,16:25,Sunday,225,0.0,2024-02-11 16:00:00,1000.0
2024-02-11 16:30:00,45,2,11,16:30,Sunday,225,0.0,2024-02-11 16:00:00,1000.0
2024-02-11 16:35:00,45,2,11,16:35,Sunday,225,0.0,2024-02-11 16:00:00,1000.0
2024-02-11 16:40:00,45,2,11,16:40,Sunday,225,0.0,2024-02-11 16:00:00,1000.0
2024-02-11 16:45:00,45,2,11,16:45,Sunday,225,0.0,2024-02-11 16:00:00,1000.0
