,datetime,Date,Time,Temp,rain,Day of the Week,School Holiday,Public Holiday,Weekend,type_of_day
175,2024-08-09 12:55:00,2024-08-09,12:55:00,29,1,Friday,0,1,0,3
176,2024-08-09 12:56:00,2024-08-09,12:56:00,29,1,Friday,0,1,0,3
177,2024-08-09 12:57:00,2024-08-09,12:57:00,29,1,Friday,0,1,0,3
178,2024-08-09 12:58:00,2024-08-09,12:58:00,29,1,Friday,0,1,0,3
179,2024-08-09 12:59:00,2024-08-09,12:59:00,29,1,Friday,0,1,0,3
180,2024-08-09 13:00:00,2024-08-09,13:00:00,29,1,Friday,0,1,0,3
181,2024-08-09 13:01:00,2024-08-09,13:01:00,29,1,Friday,0,1,0,3
182,2024-08-09 13:02:00,2024-08-09,13:02:00,29,1,Friday,0,1,0,3
183,2024-08-09 13:03:00,2024-08-09,13:03:00,29,1,Friday,0,1,0,3
184,2024-08-09 13:04:00,2024-08-09,13:04:00,29,1,Friday,0,1,0,3
185,2024-08-09 13:05:00,2024-08-09,13:05:00,29,1,Friday,0,1,0,3
186,2024-08-09 13:06:00,2024-08-09,13:06:00,29,1,Friday,0,1,0,3
187,2024-08-09 13:07:00,2024-08-09,13:07:00,29,1,Friday,0,1,0,3
188,2024-08-09 13:08:00,2024-08-09,13:08:00,29,1,Friday,0,1,0,3
189,2024-08-09 13:09:00,2024-08-09,13:09:00,29,1,Friday,0,1,0,3
190,2024-08-09 13:10:00,2024-08-09,13:10:00,29,1,Friday,0,1,0,3
191,2024-08-09 13:11:00,2024-08-09,13:11:00,29,1,Friday,0,1,0,3
192,2024-08-09 13:12:00,2024-08-09,13:12:00,29,1,Friday,0,1,0,3
193,2024-08-09 13:13:00,2024-08-09,13:13:00,29,1,Friday,0,1,0,3
194,2024-08-09 13:14:00,2024-08-09,13:14:00,29,1,Friday,0,1,0,3
195,2024-08-09 13:15:00,2024-08-09,13:15:00,29,1,Friday,0,1,0,3
