Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Date,Public Holiday,School Holiday,Wait Time
Sentosa Island,2023,5,23,4.2,1.4,2.0,3.0,28.5,30.7,24.4,7.0,35.2,2023-05-23,0,0,
Sentosa Island,2023,5,24,0.0,0.0,0.0,0.0,29.9,32.5,28.2,6.5,19.4,2023-05-24,0,0,31.738095238095237
Sentosa Island,2023,5,25,0.0,0.0,0.0,0.0,30.0,32.6,28.4,6.3,25.9,2023-05-25,0,0,25.14457831325301
Sentosa Island,2023,5,26,26.2,20.8,24.2,24.4,28.2,30.1,24.4,5.1,34.3,2023-05-26,0,0,33.476190476190474
Sentosa Island,2023,5,27,0.0,0.0,0.0,0.0,29.1,32.0,27.4,5.1,26.7,2023-05-27,0,1,29.297619047619047
Sentosa Island,2023,5,28,11.6,11.6,11.6,11.6,29.2,32.6,25.1,6.0,33.9,2023-05-28,0,1,22.916666666666668
Sentosa Island,2023,5,29,15.6,14.6,14.6,15.2,29.4,32.1,24.5,7.4,45.7,2023-05-29,0,1,39.63095238095238
Sentosa Island,2023,5,30,0.0,0.0,0.0,0.0,29.6,32.4,27.6,5.7,22.0,2023-05-30,0,1,
Sentosa Island,2023,5,31,0.0,0.0,0.0,0.0,30.0,33.1,28.3,7.3,20.2,2023-05-31,0,1,31.53012048192771
Sentosa Island,2023,6,1,22.8,11.2,14.2,18.6,27.0,29.5,24.3,6.5,39.6,2023-06-01,0,1,23.86904761904762
Sentosa Island,2023,6,2,0.0,0.0,0.0,0.0,29.4,32.9,26.3,5.4,20.9,2023-06-02,1,1,37.92857142857143
Sentosa Island,2023,6,3,12.0,11.8,11.8,12.0,29.0,32.7,23.5,4.8,33.2,2023-06-03,0,1,
Sentosa Island,2023,6,4,30.8,15.6,22.8,29.0,27.8,31.7,24.5,5.1,106.9,2023-06-04,0,1,
Sentosa Island,2023,6,5,0.0,0.0,0.0,0.0,28.9,32.0,26.2,5.5,18.3,2023-06-05,0,1,26.25
Sentosa Island,2023,6,6,0.2,0.2,0.2,0.2,28.3,30.0,26.3,4.4,22.6,2023-06-06,0,1,13.404761904761905
Sentosa Island,2023,6,7,0.0,0.0,0.0,0.0,28.9,31.8,27.4,5.8,25.2,2023-06-07,0,1,23.297619047619047
Sentosa Island,2023,6,8,0.0,0.0,0.0,0.0,29.6,32.7,27.4,5.8,25.9,2023-06-08,0,1,24.0609756097561
Sentosa Island,2023,6,9,0.0,0.0,0.0,0.0,29.6,33.3,27.9,5.8,20.2,2023-06-09,0,1,27.702380952380953
Sentosa Island,2023,6,10,0.0,0.0,0.0,0.0,29.7,33.3,27.7,6.1,26.3,2023-06-10,0,1,29.583333333333332
Sentosa Island,2023,6,11,0.0,0.0,0.0,0.0,29.8,34.1,28.0,6.2,22.6,2023-06-11,0,1,19.428571428571427
Sentosa Island,2023,6,12,42.2,17.4,25.2,39.0,27.3,29.8,23.8,4.8,29.1,2023-06-12,0,1,28.4625
