Ride,Date/Time,Wait Time,DayType
Treasure Hunters,2023-01-07 12:25:04,5,2
Treasure Hunters,2023-01-07 12:30:03,5,2
Treasure Hunters,2023-01-07 12:35:03,5,2
Treasure Hunters,2023-01-07 12:40:04,5,2
Treasure Hunters,2023-01-07 12:45:04,5,2
Treasure Hunters,2023-01-07 12:50:05,5,2
Treasure Hunters,2023-01-07 12:55:03,35,2
Treasure Hunters,2023-01-07 13:00:04,35,2
Treasure Hunters,2023-01-07 13:05:04,35,2
Treasure Hunters,2023-01-07 13:10:03,35,2
Treasure Hunters,2023-01-07 13:15:04,35,2
Treasure Hunters,2023-01-07 13:20:04,35,2
Treasure Hunters,2023-01-07 13:25:04,45,2
Treasure Hunters,2023-01-07 13:30:04,45,2
Treasure Hunters,2023-01-07 13:35:04,45,2
Treasure Hunters,2023-01-07 13:50:04,45,2
Treasure Hunters,2023-01-07 13:55:04,45,2
Treasure Hunters,2023-01-07 14:00:05,45,2
Treasure Hunters,2023-01-07 14:05:03,45,2
Treasure Hunters,2023-01-07 14:10:04,45,2
Treasure Hunters,2023-01-07 14:15:03,45,2
Treasure Hunters,2023-01-07 14:20:03,45,2
Treasure Hunters,2023-01-07 14:25:03,45,2
Treasure Hunters,2023-01-07 14:30:03,45,2
Treasure Hunters,2023-01-07 14:35:03,45,2
Treasure Hunters,2023-01-07 14:40:04,45,2
Treasure Hunters,2023-01-07 14:45:04,45,2
Treasure Hunters,2023-01-07 14:50:04,45,2
Treasure Hunters,2023-01-07 14:55:04,45,2
Treasure Hunters,2023-01-07 15:00:04,45,2
Treasure Hunters,2023-01-07 15:05:03,45,2
Treasure Hunters,2023-01-07 15:10:04,45,2
Treasure Hunters,2023-01-07 15:15:03,45,2
Treasure Hunters,2023-01-07 15:20:04,45,2
Treasure Hunters,2023-01-07 15:25:04,45,2
Treasure Hunters,2023-01-07 15:30:04,45,2
Treasure Hunters,2023-01-07 15:35:03,45,2
Treasure Hunters,2023-01-07 15:40:04,45,2
Treasure Hunters,2023-01-07 15:45:04,45,2
Treasure Hunters,2023-01-07 15:50:04,45,2
Treasure Hunters,2023-01-07 15:55:03,45,2
Treasure Hunters,2023-01-07 16:00:03,45,2
Treasure Hunters,2023-01-07 16:05:03,45,2
Treasure Hunters,2023-01-07 16:10:03,45,2
Treasure Hunters,2023-01-07 16:15:03,45,2
Treasure Hunters,2023-01-07 16:20:03,45,2
Treasure Hunters,2023-01-07 16:25:03,45,2
Treasure Hunters,2023-01-07 16:30:03,45,2
Treasure Hunters,2023-01-07 16:35:03,45,2
Treasure Hunters,2023-01-07 16:40:03,45,2
Treasure Hunters,2023-01-07 16:45:04,45,2
Treasure Hunters,2023-01-07 16:50:03,45,2
Treasure Hunters,2023-01-07 16:55:04,45,2
Treasure Hunters,2023-01-07 17:00:03,45,2
Treasure Hunters,2023-01-07 17:05:03,45,2
Treasure Hunters,2023-01-07 17:10:04,45,2
Treasure Hunters,2023-01-07 17:15:04,45,2
Treasure Hunters,2023-01-07 17:20:04,45,2
Treasure Hunters,2023-01-07 17:25:04,45,2
Treasure Hunters,2023-01-07 17:30:03,45,2
Treasure Hunters,2023-01-07 17:35:03,45,2
Treasure Hunters,2023-01-07 17:40:05,45,2
Treasure Hunters,2023-01-07 17:45:04,45,2
Treasure Hunters,2023-01-07 17:50:03,45,2
Treasure Hunters,2023-01-07 17:55:03,45,2
Treasure Hunters,2023-01-08 11:00:04,5,2
Treasure Hunters,2023-01-08 11:05:04,5,2
Treasure Hunters,2023-01-08 11:10:03,5,2
Treasure Hunters,2023-01-08 11:15:03,5,2
Treasure Hunters,2023-01-08 11:20:04,5,2
Treasure Hunters,2023-01-08 11:25:03,5,2
Treasure Hunters,2023-01-08 11:30:04,5,2
Treasure Hunters,2023-01-08 11:35:03,5,2
Treasure Hunters,2023-01-08 11:40:04,5,2
Treasure Hunters,2023-01-08 11:45:03,15,2
Treasure Hunters,2023-01-08 11:50:03,15,2
Treasure Hunters,2023-01-08 11:55:05,15,2
Treasure Hunters,2023-01-08 12:00:03,15,2
Treasure Hunters,2023-01-08 12:05:04,15,2
Treasure Hunters,2023-01-08 12:10:04,15,2
Treasure Hunters,2023-01-08 12:15:04,15,2
Treasure Hunters,2023-01-08 12:20:03,15,2
Treasure Hunters,2023-01-08 12:25:03,15,2
Treasure Hunters,2023-01-08 12:30:03,30,2
Treasure Hunters,2023-01-08 12:35:04,30,2
Treasure Hunters,2023-01-08 12:40:04,30,2
Treasure Hunters,2023-01-08 12:45:04,30,2
Treasure Hunters,2023-01-08 12:50:04,30,2
Treasure Hunters,2023-01-08 12:55:03,30,2
Treasure Hunters,2023-01-08 13:00:03,30,2
Treasure Hunters,2023-01-08 13:05:03,30,2
Treasure Hunters,2023-01-08 13:10:03,30,2
Treasure Hunters,2023-01-08 13:15:04,30,2
Treasure Hunters,2023-01-08 13:20:04,30,2
Treasure Hunters,2023-01-08 13:25:03,30,2
Treasure Hunters,2023-01-08 13:30:04,30,2
Treasure Hunters,2023-01-08 13:35:04,30,2
Treasure Hunters,2023-01-08 13:45:04,30,2
Treasure Hunters,2023-01-08 13:50:04,30,2
Treasure Hunters,2023-01-08 13:55:04,30,2
Treasure Hunters,2023-01-08 14:00:03,30,2
Treasure Hunters,2023-01-08 14:05:03,30,2
Treasure Hunters,2023-01-08 14:10:03,30,2
Treasure Hunters,2023-01-08 14:15:03,30,2
Treasure Hunters,2023-01-08 14:20:05,30,2
Treasure Hunters,2023-01-08 14:25:03,30,2
Treasure Hunters,2023-01-08 14:30:04,30,2
Treasure Hunters,2023-01-08 14:35:04,30,2
Treasure Hunters,2023-01-08 14:40:04,30,2
Treasure Hunters,2023-01-08 14:45:04,30,2
Treasure Hunters,2023-01-08 14:50:04,30,2
Treasure Hunters,2023-01-08 14:55:03,30,2
Treasure Hunters,2023-01-08 15:00:04,30,2
Treasure Hunters,2023-01-08 15:05:04,30,2
Treasure Hunters,2023-01-08 15:10:03,30,2
Treasure Hunters,2023-01-08 15:15:03,30,2
Treasure Hunters,2023-01-08 15:20:03,45,2
Treasure Hunters,2023-01-08 15:25:04,45,2
Treasure Hunters,2023-01-08 15:30:04,45,2
Treasure Hunters,2023-01-08 15:35:04,30,2
