Date,Day,Wait Time,Weekend,Public Holiday,School Holiday,Weather Condition,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C)
2023-09-24,Sunday,12.535714285714286,1,0,0,2,36.4,20.4,27.4,30.8,26.7,28.3,23.2
2023-09-25,Monday,28.678571428571427,0,0,0,0,0.0,0.0,0.0,0.0,28.1,30.8,25.4
2023-09-26,Tuesday,17.01219512195122,0,0,0,0,0.0,0.0,0.0,0.0,29.2,33.2,27.1
2023-09-27,Wednesday,20.071428571428573,0,0,0,0,0.0,0.0,0.0,0.0,29.6,33.5,27.6
2023-09-28,Thursday,27.071428571428573,0,0,0,0,0.0,0.0,0.0,0.0,29.5,33.4,27.4
2023-09-29,Friday,34.31386861313869,0,0,0,0,0.0,0.0,0.0,0.0,29.2,33.8,27.4
2023-09-30,Saturday,30.0,1,0,0,0,1.6,1.6,1.6,1.6,28.0,31.5,26.8
2023-10-01,Sunday,28.44047619047619,1,0,0,0,0.0,0.0,0.0,0.0,28.8,32.5,26.5
2023-10-02,Monday,33.72222222222222,0,0,0,0,0.0,0.0,0.0,0.0,29.4,32.5,27.1
2023-10-03,Tuesday,31.297619047619047,0,0,0,0,0.2,0.2,0.2,0.2,27.7,30.4,25.9
2023-10-04,Wednesday,28.36904761904762,0,0,0,0,0.0,0.0,0.0,0.0,29.0,33.6,26.4
