Park,Date/Time,Wait Time
Universal Studios Singapore,2023-09-06 13:05:00,24
Universal Studios Singapore,2023-09-06 13:10:00,22
Universal Studios Singapore,2023-09-06 13:15:00,22
Universal Studios Singapore,2023-09-06 13:20:00,22
Universal Studios Singapore,2023-09-06 13:25:00,22
Universal Studios Singapore,2023-09-06 13:30:00,19
Universal Studios Singapore,2023-09-06 13:35:00,19
Universal Studios Singapore,2023-09-06 13:40:00,19
Universal Studios Singapore,2023-09-06 13:45:00,19
Universal Studios Singapore,2023-09-06 13:50:00,19
Universal Studios Singapore,2023-09-06 13:55:00,18
Universal Studios Singapore,2023-09-06 14:00:00,18
Universal Studios Singapore,2023-09-06 14:05:00,21
Universal Studios Singapore,2023-09-06 14:10:00,21
Universal Studios Singapore,2023-09-06 14:15:00,19
Universal Studios Singapore,2023-09-06 14:20:00,20
Universal Studios Singapore,2023-09-06 14:25:00,20
Universal Studios Singapore,2023-09-06 14:30:00,20
Universal Studios Singapore,2023-09-06 14:35:00,21
Universal Studios Singapore,2023-09-06 14:40:00,21
Universal Studios Singapore,2023-09-06 14:45:00,19
Universal Studios Singapore,2023-09-06 14:50:00,20
Universal Studios Singapore,2023-09-06 14:55:00,19
Universal Studios Singapore,2023-09-06 15:00:00,18
Universal Studios Singapore,2023-09-06 15:05:00,13
Universal Studios Singapore,2023-09-06 15:10:00,10
Universal Studios Singapore,2023-09-06 15:15:00,10
Universal Studios Singapore,2023-09-06 15:20:00,10
Universal Studios Singapore,2023-09-06 15:25:00,10
Universal Studios Singapore,2023-09-06 15:30:00,10
Universal Studios Singapore,2023-09-06 15:35:00,10
Universal Studios Singapore,2023-09-06 15:40:00,10
Universal Studios Singapore,2023-09-06 15:45:00,10
Universal Studios Singapore,2023-09-06 15:50:00,10
Universal Studios Singapore,2023-09-06 15:55:00,10
Universal Studios Singapore,2023-09-06 16:00:00,11
Universal Studios Singapore,2023-09-06 16:05:00,11
Universal Studios Singapore,2023-09-06 16:10:00,10
Universal Studios Singapore,2023-09-06 16:15:00,10
Universal Studios Singapore,2023-09-06 16:20:00,10
Universal Studios Singapore,2023-09-06 16:25:00,10
Universal Studios Singapore,2023-09-06 16:30:00,10
Universal Studios Singapore,2023-09-06 16:35:00,10
Universal Studios Singapore,2023-09-06 16:40:00,9
Universal Studios Singapore,2023-09-06 16:45:00,11
Universal Studios Singapore,2023-09-06 16:50:00,11
Universal Studios Singapore,2023-09-06 16:55:00,11
Universal Studios Singapore,2023-09-06 17:00:00,10
Universal Studios Singapore,2023-09-06 17:05:00,10
Universal Studios Singapore,2023-09-06 17:10:00,10
Universal Studios Singapore,2023-09-06 17:15:00,10
Universal Studios Singapore,2023-09-06 17:20:00,10
Universal Studios Singapore,2023-09-06 17:25:00,10
Universal Studios Singapore,2023-09-06 17:30:00,10
Universal Studios Singapore,2023-09-06 17:35:00,10
Universal Studios Singapore,2023-09-06 17:40:00,10
Universal Studios Singapore,2023-09-06 17:45:00,10
Universal Studios Singapore,2023-09-06 17:50:00,10
Universal Studios Singapore,2023-09-06 17:55:00,10
Universal Studios Singapore,2023-09-07 11:00:00,7
Universal Studios Singapore,2023-09-07 11:05:00,7
Universal Studios Singapore,2023-09-07 11:10:00,7
Universal Studios Singapore,2023-09-07 11:15:00,10
Universal Studios Singapore,2023-09-07 11:20:00,10
Universal Studios Singapore,2023-09-07 11:25:00,12
Universal Studios Singapore,2023-09-07 11:30:00,12
Universal Studios Singapore,2023-09-07 11:35:00,12
Universal Studios Singapore,2023-09-07 11:40:00,12
Universal Studios Singapore,2023-09-07 11:45:00,15
Universal Studios Singapore,2023-09-07 11:50:00,15
Universal Studios Singapore,2023-09-07 11:55:00,16
Universal Studios Singapore,2023-09-07 12:00:00,17
Universal Studios Singapore,2023-09-07 12:05:00,19
Universal Studios Singapore,2023-09-07 12:10:00,20
Universal Studios Singapore,2023-09-07 12:15:00,18
Universal Studios Singapore,2023-09-07 12:20:00,18
Universal Studios Singapore,2023-09-07 12:25:00,19
Universal Studios Singapore,2023-09-07 12:30:00,22
Universal Studios Singapore,2023-09-07 12:35:00,24
Universal Studios Singapore,2023-09-07 12:40:00,28
Universal Studios Singapore,2023-09-07 12:45:00,25
Universal Studios Singapore,2023-09-07 12:50:00,24
Universal Studios Singapore,2023-09-07 12:55:00,24
Universal Studios Singapore,2023-09-07 13:00:00,24
Universal Studios Singapore,2023-09-07 13:05:00,25
Universal Studios Singapore,2023-09-07 13:10:00,23
Universal Studios Singapore,2023-09-07 13:15:00,24
Universal Studios Singapore,2023-09-07 13:20:00,24
Universal Studios Singapore,2023-09-07 13:25:00,24
