Park,Date/Time,Wait Time
Universal Studios Singapore,2023-11-09 15:50:00,18
Universal Studios Singapore,2023-11-09 15:55:00,17
Universal Studios Singapore,2023-11-09 16:00:00,17
Universal Studios Singapore,2023-11-09 16:05:00,15
Universal Studios Singapore,2023-11-09 16:10:00,14
Universal Studios Singapore,2023-11-09 16:15:00,12
Universal Studios Singapore,2023-11-09 16:20:00,12
Universal Studios Singapore,2023-11-09 16:25:00,10
Universal Studios Singapore,2023-11-09 16:30:00,12
Universal Studios Singapore,2023-11-09 16:35:00,12
Universal Studios Singapore,2023-11-09 16:40:00,12
Universal Studios Singapore,2023-11-09 16:45:00,12
Universal Studios Singapore,2023-11-09 16:50:00,12
Universal Studios Singapore,2023-11-09 16:55:00,12
Universal Studios Singapore,2023-11-09 17:00:00,12
Universal Studios Singapore,2023-11-09 17:05:00,12
Universal Studios Singapore,2023-11-09 17:10:00,12
Universal Studios Singapore,2023-11-09 17:15:00,12
Universal Studios Singapore,2023-11-09 17:20:00,12
Universal Studios Singapore,2023-11-09 17:25:00,11
Universal Studios Singapore,2023-11-09 17:30:00,11
Universal Studios Singapore,2023-11-09 17:35:00,11
Universal Studios Singapore,2023-11-09 17:40:00,11
Universal Studios Singapore,2023-11-09 17:45:00,11
Universal Studios Singapore,2023-11-09 17:50:00,11
Universal Studios Singapore,2023-11-09 17:55:00,8
Universal Studios Singapore,2023-11-10 11:00:00,8
Universal Studios Singapore,2023-11-10 11:05:00,9
Universal Studios Singapore,2023-11-10 11:10:00,11
Universal Studios Singapore,2023-11-10 11:15:00,12
Universal Studios Singapore,2023-11-10 11:20:00,12
Universal Studios Singapore,2023-11-10 11:25:00,13
Universal Studios Singapore,2023-11-10 11:30:00,16
Universal Studios Singapore,2023-11-10 11:35:00,16
Universal Studios Singapore,2023-11-10 11:40:00,16
Universal Studios Singapore,2023-11-10 11:45:00,16
Universal Studios Singapore,2023-11-10 11:50:00,24
Universal Studios Singapore,2023-11-10 11:55:00,24
Universal Studios Singapore,2023-11-10 12:00:00,26
Universal Studios Singapore,2023-11-10 12:05:00,28
Universal Studios Singapore,2023-11-10 12:10:00,28
